Board,Grade,Subject,Chapter,Topics,Brief Description,Duration,Suggested Topics,Related Topics
CBSE,Class 8,Science,FORCE AND PRESSURE,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,FRICTION,"INTRODUCTION TO FRICTION , CAUSES OF FRICTION,FACTORS AFFECTING FRICTION","slip of tongue , stop it , obstacles to overcome , opposite force , only interlocking? , the real cause , is it smooth? , find the cause , eradicate the cause , Surface pro , being normal , only if you move it ? , finding direction",45 mins,", FRICTION A FRENEMY? CAN WE CHANGE FRICTION? , OTHER TYPES OF FRICTION",
CBSE,Class 8,Science,FRICTION,", FRICTION A FRENEMY? CAN WE CHANGE FRICTION? , OTHER TYPES OF FRICTION","friendly friction , not so friendly , heating up the situation , effects of friction , A Loyal servant , let's control friction , let's bring a change , reinent the wheel , let's wheel away , the old man and the seawage , how much drag? ,",45 mins,"INTRODUCTION TO FRICTION , CAUSES OF FRICTION,FACTORS AFFECTING FRICTION",
CBSE,Class 8,Science,FRICTION,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,SOUND,"SOUND AND ITS PROPAGATION , PRODUCTION OF SOUND , frequency,pitch,amplitude and loudness , ears music and noise","Sound =vibrations , propagation of sound , musical instruments , how do humans produce sound? , frequency and pitch , amplitude and loudness , human ear , musical and noise",45 mins,,
CBSE,Class 8,Science,SOUND,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,CHEMICAL EFFECTS OF ELECTRIC CURRENT,"CURRENT IN EVERYDAY AFFAIRS , CONDUCTORS AND CONDUCTING LIQUIDS , ELECTROLYSIS , ELECTROPLATING","The story of electrocution , connectiong ends , chemical effects , can you insulate me? , passing an electric current , type of conducting liquids , am I a good conductors , no stopping thoughts , creation of electricity , masterstroke , cupper plates , vital electrolyte , electroplating , need a coat? , winding up ,",45 mins,,
CBSE,Class 8,Science,CHEMICAL EFFECTS OF ELECTRIC CURRENT,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,SOME NATURAL PHENOMENA,"INTRODUCTION TO NATURAL PHENOMENA , LET US CHARGE , MORE ON CHARGES","it's happening by itself , natural or man made? , lightning and electricity , a huge spark , changes evreywhere , exploring charges , gravity vs electrostatics , exploring more , charge on an atom , charge transfer , why insulate? , method of charging , is it charged? ,",45 mins,"LIGHTNING , SURVIVING LIGHTNING , EARTHQUAKES",
CBSE,Class 8,Science,SOME NATURAL PHENOMENA,"LIGHTNING , SURVIVING LIGHTNING , EARTHQUAKES","Development of charges , how lighning occurs? , leaders and streamers , characteristics of lightning , types of lightning , what is safer? , what not to do? , how did franklin survive? , lightning rod , exploring more , feel tremors , peeling off the layers , cause of earthquakes , center of the probem , protective measures , some more protective measures , a piece of quake",45 mins,"INTRODUCTION TO NATURAL PHENOMENA , LET US CHARGE , MORE ON CHARGES",
CBSE,Class 8,Science,SOME NATURAL PHENOMENA,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,LIGHT,"INTRODUTION OF LIGHT , REFLECTION AND ITS EFFECTS","Land of the blind , why can't we see in the dark? , laws of reflection , unblock the light , types of reflection , image formed by plane mirror , multiple reflections , number of images , angle management ,",45 mins,"MORE ON REFLECTION , HUMAN EYE",
CBSE,Class 8,Science,LIGHT,"MORE ON REFLECTION , HUMAN EYE","parallel mirrors , kaleidoscope effect , house of mirrors , producing a rainbow of colours , how do we see? , the eye of kahu , what does eye do? , eye see the code , some more defects , braille system",45 mins,"INTRODUTION OF LIGHT , REFLECTION AND ITS EFFECTS",
CBSE,Class 8,Science,LIGHT,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,STARS AND THE SOLAR SYSTEM,"SURFACE OF THE MOON , THE MOON MYSTERY","Introduction , all about moon , apollo 11 , why moon changes its shape?, different phases of the moon , around the world in 30 days , the dark side of the moon , motion of the moon ,",45 mins,"SURFACE OF THE MOON , THE MOON MYSTERY",
CBSE,Class 8,Science,STARS AND THE SOLAR SYSTEM,"INTRODUCTION TO THE SOLAR SYSTEM , OUR SOLAR SYSTEM INNER PLANETS , OUR SOLAR SYSTEM - OUTER PLANETS , EARTH AND OTHER CELESTIAL BODIES","Introduction , stars , sun , polar star , constellations , clash of the constellations , mars ,venus , mercury , revolution of the rocks , how much have we learnt? , jupiter , saturn , uranus and nepturne , pluto , revolution of the gaints , our solar system -other planets , earth , asteroids and comets meteors and meteorite , artificial satellites",45 mins,"SURFACE OF THE MOON , THE MOON MYSTERY",
CBSE,Class 8,Science,STARS AND THE SOLAR SYSTEM,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,


